0,1,2,3,4,5,6,7,8,9,10,11,12,label
-304.0155,143.61989,1.4028877,19.456575,-5.9303446,-2.7607293,-10.992824,-11.507475,-12.545701,0.5672739,-11.105663,-2.967506,-9.644563,alarmı
-477.67755,94.69159,11.842271,11.231209,7.0991664,10.492983,2.7664921,-0.5575181,-6.9661775,-0.009445997,-1.9163781,-1.541173,-3.6662376,alarmı
-437.148,93.572205,2.5240953,18.85286,-3.305478,3.8597884,-9.625828,-10.882842,4.283533,-6.7595406,-8.139992,-7.1844964,-4.6616173,alarmı
-366.0272,127.005775,-7.387513,17.80509,0.22311853,-1.529625,-8.157583,-11.874401,6.4941573,3.3529372,2.2059011,-1.9831178,-3.965699,alarmı
-351.7538,122.095604,-11.675166,9.159123,1.1985937,-5.203433,-11.463855,-5.2381887,-2.805238,-11.014638,-12.713549,2.153829,-9.142486,alarmı
-364.97928,132.9473,8.059098,-4.88726,0.13505724,8.691653,7.3934927,-5.36294,-11.466024,1.2581168,-5.873306,-4.8700614,0.9766561,alarmı
-272.1918,114.53505,-9.508424,3.7200868,-3.9443479,-11.493899,-14.936243,-13.747428,-14.651786,-6.6227913,-17.051817,-10.59047,-10.125835,alarmı
-322.3522,145.50597,4.986779,-6.7144976,-7.886898,-4.8806105,-12.933703,-17.017689,-6.6196694,-5.21679,-0.6169779,-0.7182219,-10.713253,alarmı
-312.36224,97.33059,-0.8630877,26.82301,2.5787516,2.0456202,-17.344864,-1.892315,-3.9947836,-10.4423685,0.9826988,-5.1581326,-9.136934,alarmı
-380.83136,105.041916,0.17939024,9.1338415,-12.860266,4.6891446,-13.738831,-5.0391912,-2.262689,-5.087555,-8.647212,-1.4355984,-8.787212,alarmı
-294.62625,121.83223,10.163974,26.474419,1.8796303,17.2611,-9.977183,0.9428453,-3.84498,-3.2516298,-2.5203867,-2.2680202,-3.9715388,alarmı
-340.1654,155.62277,-8.233152,20.211641,3.3659155,-11.162277,-14.374305,-24.900942,-23.769926,-7.6417966,-11.975634,-7.713828,-5.279757,alarmı
-330.46844,126.98698,15.634976,17.63837,3.6410208,3.6276038,-5.442676,-11.940311,-10.504077,-5.6163335,-5.4165587,-14.510178,-11.32966,alarmı
-444.30988,77.511925,12.671728,20.82641,14.208116,0.694925,-1.0824748,-2.5379732,-3.0684814,-3.449909,-3.5074728,-10.54866,-8.297765,alarmı
-452.95676,99.6656,24.801504,18.216951,-8.596632,-0.64522785,-4.5652065,-6.3901987,2.7196982,-3.2770054,0.95473576,0.823309,1.2063262,alarmı
-411.54346,103.34062,-23.71785,7.9507217,-5.446232,-7.654545,-20.250101,-7.4177346,-8.663238,-16.620186,-10.654624,-7.164141,-5.0219793,alarmı
-524.9136,116.11487,-5.906286,17.775505,12.134737,-6.6289387,-10.726784,-21.663177,-5.693048,0.88970894,-2.6112669,1.0210698,-4.534948,alarmı
-352.00192,103.980606,-25.686386,22.4162,-6.1411963,8.52606,-11.581235,-1.5949662,2.7602453,-4.660451,-8.959288,-2.5258005,-6.9619393,alarmı
-430.38492,81.28072,-16.947306,24.053036,-13.868828,4.9310565,-6.276078,6.1155386,-0.5953523,-14.311358,-8.399982,-11.139323,-4.688024,alarmı
-496.95825,76.13492,-10.9914665,1.9950835,0.3092314,11.540225,-1.9002793,0.79105383,-1.288906,-1.4748924,-11.257653,-11.356872,1.1877594,alarmı
